Unregistered DEMO version of "Advanced XML Converter" (or unsupported license)
Restriction at 50% records.

1,1,Вино
2,1,Водка
3,1,Коктейль
4,1,Коньяк
5,1,Пиво
6,1,Сидр
7,1,Слабоалкоголка
8,1,Шампанское
9,1,123
10,1,кккк
11,1,йукцеркнг
12,1,123456789
13,1,12314
14,1,122122
15,1,1234512345
16,1,321321321
17,1,уккк
18,1,54543434
19,2,Антиперспирант
20,2,Гель для душа
21,2,Зубная паста
22,2,Лезвие
23,2,Мочалка
24,2,Мыло
25,2,Порошок
26,2,Салфетки
27,2,Туалетная бумага
28,2,Шампунь
29,3,Виньетка
30,3,День рождения
31,3,Кондиционер
32,3,Общак
33,3,Пьянка
34,4,Выиграш
35,4,Отдали
36,4,Стиралка
37,4,Холодильник
38,5,Арахис
39,5,Бастурма
40,5,Батончик
41,5,Беляши
42,5,Бигмак
43,5,Бисквит
44,5,Бутерброд
45,5,Вафли
46,5,Водка
47,5,Выпечка
48,5,Гамбургер
49,5,Горох
50,5,Горчица
51,5,Гренки
52,5,Гречка
53,5,Гриль голени
54,5,Грудинка гриль
55,5,Жевачка
56,5,Икра мойвы
57,5,Имбирь
58,5,Картофель
59,5,Кекс
60,5,Кетчуп
61,5,Колбаса
62,5,Кофе
63,5,Куры гриль
64,5,Лаваш
65,5,Люля кебаб
66,5,Майонез
67,5,Макароны
68,5,Маккофе
69,5,Масло
70,5,Масло подсолнечное
71,5,Мед
72,5,Мидии
73,5,Морковка по-корейски
74,5,Мороженное
75,5,Мясная тарелка
76,5,Мясо
77,5,Обед
78,5,Обеды
79,5,Оливки
80,5,Орешки
81,5,Отбивная
82,5,Пампушки
83,5,Паштет
84,5,Пельмени
85,5,Печенье
86,5,Пироженное
87,5,Пирожок
88,5,Пицца
89,5,Приправа
90,5,Рис
91,5,Рулет
92,5,Рыба сушенная
93,5,Салат
94,5,Сардины
95,5,Сахар
96,5,Скумбрия
97,5,Сметана
98,5,Сникерс
99,5,Соления
100,5,Сосиска в тесте
101,5,Сосиски
102,5,Спагетти
103,5,Суп

