Unregistered DEMO version of "Advanced XML Converter" (or unsupported license)
Restriction at 50% records.

1,1,                                                                            ,Алкоголь,
2,1,                                                                            ,Гигиена,
3,1,                                         ,Группа,
4,1,                                  ,Доход,
5,1,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Еда,
6,1,                    ,Доходы,
7,1,                    ,Здоровье,
8,1,                    ,Канцтовары,
9,1,                                  ,Клубы,
10,1,                    ,Комната,
11,1,             ,Купоны,
12,1,                                                                                                                                   ,Напитки,
13,1,                                                                           ,Одежда,
14,1,                  ,Подарили,
15,1,                     ,Подарок,
16,1,       ,Посуда,
17,1,                     ,Работа,
18,1,                                                        ,Разное,
19,1,              ,Ремонт,
20,1,                                   ,Связь,
21,1,              ,Спорт,
22,1,                     ,Техника,
23,1,                                                        ,Транспорт,
24,1,                              ,Услуги,

